id	filename	md5	size	state
71457165-5fcd-4b2d-a5b9-ed4fa2fb19da	6c06321c-1267-434f-bfa4-02ffe6a81e38.wxs.aliquot_ensemble_masked.maf.gz	89b4579ddac3f7adb72eb91128b6c64d	31152	released
36702d8e-4104-4775-b5d7-0a0e905d21bb	cfd5a8b8-312a-4a4a-9b94-d0ab73e2d0bf.wxs.aliquot_ensemble_masked.maf.gz	9f19e494c8ab24f1e51249805c8dd209	10557	released
fae2a514-1b84-41dd-9dbe-23d93c3abbc0	9ebd6437-ccae-4941-9a2d-4398d0aace42.wxs.aliquot_ensemble_masked.maf.gz	4727c58d1c07693077e6634c064cbe40	19500	released
0858355f-2327-4783-b712-8fdb4b4e1d2f	083f6fe8-3cd5-4d7a-83d5-72903ac08194.wxs.aliquot_ensemble_masked.maf.gz	7171e58e3ed65686a7c596c9da8b6077	11985	released
8840c1ee-8edf-4124-b4c8-fda3f6441895	c78191c2-d3a0-4ce4-ba24-38cd0e698bc4.wxs.aliquot_ensemble_masked.maf.gz	0280a16c3ff89bbfb0b4198424abbc72	6153	released
99f09b3f-183a-4f52-9081-59fc59ba36cb	907b22ab-f6ba-4e83-a928-521cade506c2.wxs.aliquot_ensemble_masked.maf.gz	dae46765aef9593a4b209d36ff6262c7	13469	released
a1aefc1d-4c17-4869-932c-8118aa8c1e71	4032f485-0d9f-47a8-90f6-6918c71696dc.wxs.aliquot_ensemble_masked.maf.gz	b912682b20354a54dacc1372c9930c2e	14103	released
dfbf49c2-e4e0-4d66-9abf-ad7a1ca05708	efb9d753-0936-417d-ad54-f88d9f7ab01e.wxs.aliquot_ensemble_masked.maf.gz	47771d30afc96676de077bb4a8927586	34448	released
4e72e346-dd6c-4f18-a326-1e5b2c330ace	c08814ec-e096-4365-919a-241c0979ff63.wxs.aliquot_ensemble_masked.maf.gz	7b9d51b21e940aa4bff165cecd7e33ad	7065	released
59f4a09c-1db0-455d-9085-a03d418391a8	613b7d68-ab12-4980-88df-e313f5ca9dc2.wxs.aliquot_ensemble_masked.maf.gz	3eb67e6b9b1884096a98c7b96ec6660f	9445	released
ae4e23d8-78a4-474f-9ccb-4242fff41438	4c5f6397-fd33-4346-8044-829d85e273b5.wxs.aliquot_ensemble_masked.maf.gz	9101391160a8ae381a8df742b810d6cd	1724	released
4fb232c4-cc86-4d7c-9362-9952afd9fb12	b7ab41cb-7b24-403e-bea7-d994b53ea992.wxs.aliquot_ensemble_masked.maf.gz	16a7eb4a6090cbfe83fdda038b63191c	10807	released
7d02a486-37b0-4363-9de6-5846b9b1d71a	841ba5a2-19a8-4868-a073-60a59f9f9718.wxs.aliquot_ensemble_masked.maf.gz	4ac166f18590997b2a5a0215064bb3f5	36904	released
18f764a8-e41a-4371-bf03-ca4d63055f4c	6784bd52-f5f9-4526-829f-f7c0361528da.wxs.aliquot_ensemble_masked.maf.gz	3b09c7704237381e90c5bb78760719b2	18925	released
ad3beb80-e19c-4921-b28c-72f716011286	22fe184b-12a7-4000-b58f-86803192793e.wxs.aliquot_ensemble_masked.maf.gz	17d5b321f253229e0160f763e2994dba	9355	released
02503808-2c6f-4c41-9928-660c1d1b11b1	cded7aec-1491-4235-8544-6d11817a6362.wxs.aliquot_ensemble_masked.maf.gz	0a6cfd85380b4090016c0b6392ea6b17	14003	released
044e5f26-5496-44d1-9191-e69448047a16	fe6e3336-2263-4fea-ab3e-df2ba1dbee5a.wxs.aliquot_ensemble_masked.maf.gz	b9eef6278a70eb61aa1f34bca0680c9a	2322	released
27fd7d8a-9716-451b-bb23-32707470ef7b	2393d723-dd70-4b7b-8ba9-a6cf4902c172.wxs.aliquot_ensemble_masked.maf.gz	1c7135b9e2ef9905e381423a2dfcd0ae	23513	released
81b8d4a9-f3a6-4687-8b6f-1b3d40afdbdc	56b7a3f8-6859-4682-89b5-efb6dde36b69.wxs.aliquot_ensemble_masked.maf.gz	488d790468b07ae78bb90ec38394705b	11703	released
7bd8c00d-0e12-4ee7-9839-5edd11e9fa59	28b4bf1c-5f5f-464a-a2f3-1d887644b51b.wxs.aliquot_ensemble_masked.maf.gz	686b1314335fb2395db83360ec776e5d	108981	released
67b0256d-4ba7-43b4-a85f-e20102ed7dcc	28dcca38-944c-407f-8e03-06abfdc6ab35.wxs.aliquot_ensemble_masked.maf.gz	7a76287600d36b301d2fbf320e7d0ee8	129122	released
5c6f6c12-069a-4f59-ac54-f3e8ee296905	859998d7-7242-4b3e-a6cb-861a1c77c19a.wxs.aliquot_ensemble_masked.maf.gz	4a0c14864b6a7e66ff6ab267ca14cad9	13781	released
3da42e47-4049-447a-acf6-364fb0a0f12f	e9194020-a8a1-4098-adfb-4b6963bdad3f.wxs.aliquot_ensemble_masked.maf.gz	302c94294b41ea5ebca62a73c84fcd1f	34528	released
b4e0d50a-c26d-413e-aa77-399d6e92e96d	c1ed8811-73ae-47b9-a390-607f5ba8fcba.wxs.aliquot_ensemble_masked.maf.gz	ffc088d4cedfdafed3eb894ffd5832ba	18903	released
04259b6e-cd37-49ed-b080-49df301a53a7	3247ac91-e5f4-497e-94e0-bb2ae9bfca1b.wxs.aliquot_ensemble_masked.maf.gz	1fb632afbc39ebf597fe9e649ccb232c	37224	released
457a7fe9-e6d6-42fb-a9a1-2b5f067448a7	4ac8519d-3f94-42ac-9437-e6d80e2a5865.wxs.aliquot_ensemble_masked.maf.gz	7579d068e7d247e4d512ba560abf2cbc	13262	released
b1db6e69-d038-4278-a268-c7de42bea3ba	333e6603-1fc8-4ce6-bae0-dba0fc46563b.wxs.aliquot_ensemble_masked.maf.gz	e627f86280b1201e877548d621430b8b	21903	released
626e295c-67c3-420d-adeb-440defe7929d	23501a12-0e0b-49c4-acc3-b242ed8be651.wxs.aliquot_ensemble_masked.maf.gz	9abcd12584da007ec0c1c35a6251b58f	22627	released
518147a5-607d-4b85-a012-98d85e680571	11763ce5-fe69-4d8d-86b4-1b4447e90976.wxs.aliquot_ensemble_masked.maf.gz	1ba130b6993ee9e79389f58c71b6f442	10176	released
d900d564-8177-4917-9d30-258931436d38	e0d63c88-2776-4608-bfd5-358a02a681a0.wxs.aliquot_ensemble_masked.maf.gz	c012e4d92bfd9361ae763685502a0e2f	47764	released
4aad13c4-53ed-4766-b0da-e379f6ccb4b9	542d05d1-26fa-465a-af55-d30115bec91f.wxs.aliquot_ensemble_masked.maf.gz	a432095a401a975e76b4543ac39e0d26	53154	released
1e171ca7-9c44-4dc9-8908-b35b40e3464e	ddc3ae9b-44d5-470f-aa2f-7e1768e0c20a.wxs.aliquot_ensemble_masked.maf.gz	332a47ce88b2b806f07298caaa1284d5	11130	released
